일련번호,행사날짜,행사명,행사장,행사시작,관중수
1,2022-03-10,BTS콘서트,올림픽주경기장,19:00,14791
2,2022-03-12,BTS콘서트,올림픽주경기장,18:00,14965
3,2022-03-13,BTS콘서트,올림픽주경기장,18:00,14940
4,2022-03-25,세븐틴 콘서트,잠실보조경기장,18:00,4876
5,2022-03-26,세븐틴 콘서트,잠실보조경기장,17:00,4932
6,2022-04-22,김성규 콘서트,잠실실내체육관,20:00,2028
7,2022-04-23,김성규 콘서트,잠실실내체육관,18:00,2246
8,2022-04-24,김성규 콘서트,잠실실내체육관,17:00,2805
9,2022-04-29,2022 스트레이키즈 콘서트,잠실실내체육관,20:00,4526
10,2022-04-30,2022 스트레이키즈 콘서트,잠실실내체육관,18:00,4611
11,2022-05-01,2022 스트레이키즈 콘서트,잠실실내체육관,17:00,4595
12,2022-05-20,2022 하이라이트 콘서트,잠실실내체육관,20:00,5453
13,2022-05-21,2022 하이라이트 콘서트,잠실실내체육관,17:00,5434
14,2022-05-22,2022 하이라이트 콘서트,잠실실내체육관,17:00,5502
15,2022-05-28,2022 성시경의 축가 콘서트,잠실보조경기장,19:00,10816
16,2022-05-29,2022 아스트로 콘서트,잠실실내체육관,17:00,2442
17,2022-05-30,2022 성시경의 축가 콘서트,잠실보조경기장,19:00,10898
18,2022-06-18,2022 드림 콘서트,올림픽주경기장,18:00,39371
19,2022-06-19,2022 드림 콘서트,올림픽주경기장,19:00,15095
20,2022-07-02,투모로우 바이투게더 콘서트,잠실실내체육관,18:00,5133
21,2022-07-03,투모로우 바이투게더 콘서트,잠실실내체육관,17:00,5134
22,2022-07-15,싸이 흠뻑쇼 2022,올림픽주경기장,18:42,34165
23,2022-07-16,싸이 흠뻑쇼 2022,올림픽주경기장,18:42,34189
24,2022-07-17,싸이 흠뻑쇼 2022,올림픽주경기장,18:42,34172
25,2022-09-08,NCT 콘서트,올림픽주경기장,19:00,20295
26,2022-09-09,NCT 콘서트,올림픽주경기장,19:00,22640
27,2022-09-14,알렌워커 내한 공연,잠실실내체육관,20:00,3509
28,2022-09-17,아이유 콘서트,올림픽주경기장,19:00,39682
29,2022-09-18,아이유 콘서트,올림픽주경기장,19:00,39020
30,2022-09-23,팜트리 아일랜드 레이블 뮤지컬 갈라 콘서트,잠실실내체육관,19:30,2670
31,2022-09-24,팜트리 아일랜드 레이블 뮤지컬 갈라 콘서트,잠실실내체육관,17:00,3167
32,2022-09-25,팜트리 아일랜드 레이블 뮤지컬 갈라 콘서트,잠실실내체육관,16:00,3541
33,2022-10-07,2022 더 K 콘서트,올림픽주경기장,19:00,34591
34,2022-10-22,NCT 콘서트,올림픽주경기장,18:00,19319
35,2022-10-23,NCT 콘서트,올림픽주경기장,18:00,18956
36,2022-10-29,2022 ATEEZ WORLD TOUR,잠실실내체육관,18:00,5483
37,2022-10-30,2022 ATEEZ WORLD TOUR,잠실실내체육관,18:00,5483
38,2022-12-23,성시경 연말 콘서트,잠실실내체육관,19:30,10285
39,2022-12-24,성시경 연말 콘서트,잠실실내체육관,18:00,10466
40,2022-12-25,성시경 연말 콘서트,잠실실내체육관,18:00,10616
